seed,node_id,neighbor_id,timestamp,modality,predicted_position_covariance_reduction,predicted_position_covariance_reduction_fraction,position_injection_risk,neighbor_to_measurement_covariance_trace_ratio,actual_position_error_change_m,actual_position_error_worsened
0,sat_p03_s01,sat_p02_s01,0.0,RADAR,3.340789470416969,0.13486896347903873,0.13486896347903873,2.06303252984122,0.23398520547047497,True
0,sat_p03_s01,sat_p04_s01,0.0,RADAR,2.6516706505225307,0.12373734273996623,0.12373734273996623,2.063032999880539,-0.4847598106068993,False
0,sat_p03_s01,sat_p02_s01,2.0,RADAR,0.40456487578026756,0.0372909476944528,0.0372909476944528,1.0760908489169176,0.2208114752539947,True
0,sat_p03_s01,sat_p04_s01,2.0,RADAR,0.39047397427627367,0.03738629133421654,0.03738629133421654,1.0760909428324978,-0.2671795440650415,False
0,sat_p03_s01,sat_p02_s01,4.0,RADAR,0.16080051165807024,0.02224008623905458,0.02224008623905458,0.7282202467853266,0.1797167425819417,True
0,sat_p03_s01,sat_p04_s01,4.0,RADAR,0.1562934893036135,0.02210842324875122,0.02210842324875122,0.7282199230009797,-0.03275126558458119,False
0,sat_p03_s01,sat_p02_s01,6.0,RADAR,0.08751751251223643,0.01603769610913419,0.01603769610913419,0.5508104991266775,0.08826856039319697,True
0,sat_p03_s01,sat_p04_s01,6.0,RADAR,0.08536885421364283,0.015898935967740876,0.015898935967740876,0.5508096998932075,-0.026074538515866497,False
0,sat_p03_s01,sat_p02_s01,8.0,RADAR,0.055542036742671906,0.012633963584666667,0.012633963584666667,0.4435101172516828,0.09186983775013546,True
0,sat_p03_s01,sat_p04_s01,8.0,RADAR,0.054330209321805135,0.012516446775146977,0.012516446775146977,0.44350878174315284,0.021523976238248643,True
0,sat_p03_s01,sat_p02_s01,10.0,RADAR,0.03866434581422954,0.010476867585828017,0.010476867585828017,0.37187869448695116,-0.004764675664870932,False
0,sat_p03_s01,sat_p04_s01,10.0,RADAR,0.037905944880733414,0.010380115849234692,0.010380115849234692,0.37187676191673746,-0.012766827554822058,False
0,sat_p03_s01,sat_p02_s01,12.0,RADAR,0.028649738719657404,0.008985444509558686,0.008985444509558686,0.3209045609431216,0.13409187113365162,True
0,sat_p03_s01,sat_p04_s01,12.0,RADAR,0.02813975287981033,0.008905517850329451,0.008905517850329451,0.32090197229919715,0.08133081623696325,True
0,sat_p03_s01,sat_p02_s01,14.0,RADAR,0.02221584183566465,0.007892181545157563,0.007892181545157563,0.28299625435736225,0.06764436697761456,True
0,sat_p03_s01,sat_p04_s01,14.0,RADAR,0.021854894932977403,0.007825717581211868,0.007825717581211868,0.2829929528922498,-0.037027835351403304,False
